Grupo,Subgrupo,Produto,Unidade,Regiao,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,SP,2023,0.0,0.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7799.0,2183.0
Agrotóxico,Acaricida,"TALENTO, 500 G/KG, HEXYTHIAZOX, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, WP",KG,Centro-Oeste,GO,2024,0.0,0.0,2.015,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.1,0.0
Agrotóxico,Acaricida,VERTIMEC,L,Nordeste,BA,2024,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,12500.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,SP,2024,0.0,0.0,11503.0,0.0,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sul,RS,2024,0.0,0.0,11800.0,0.0,0.0,0.0,0.0,0.0,13800.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,RJ,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12490.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,MG,2024,12100.0,0.0,12200.0,0.0,12000.0,0.0,8500.0,0.0,9000.0,0.0,12000.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Centro-Oeste,GO,2024,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Centro-Oeste,DF,2024,4000.0,4000.0,4000.0,0.0,2000.0,0.0,2100.0,0.0,2300.0,2200.0,13000.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sul,SC,2024,0.0,0.0,11395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Espalhante/Adjuvante,ADESIL,L,Nordeste,BA,2020,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Espalhante/Adjuvante,AGRAL,L,Sul,PR,2020,1863.0,1863.0,1817.0,1825.0,1534.0,1834.0,1838.0,1854.0,1854.0,1856.0,2178.0,2000.0
Agrotóxico,Espalhante/Adjuvante,AGRAL,L,Sul,PR,2020,1684.0,1684.0,1684.0,1700.0,1710.0,1710.0,1750.0,1800.0,1800.0,1810.0,2356.0,2356.0
Agrotóxico,Espalhante/Adjuvante,AGRAL,L,Centro-Oeste,MS,2020,1460.0,1500.0,1495.0,1500.0,1500.0,1500.0,1459.0,1488.0,1476.0,1518.0,1530.0,1000.0
Agrotóxico,Espalhante/Adjuvante,AGRAL,L,Centro-Oeste,MT,2020,2070.0,2240.0,2240.0,2240.0,2240.0,2450.0,2450.0,2450.0,2450.0,2450.0,2450.0,2450.0
Agrotóxico,Espalhante/Adjuvante,AGRAL,L,Sul,SC,2020,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Espalhante/Adjuvante,AGRAL,L,Sudeste,SP,2020,1861.0,1840.0,1840.0,1736.0,1736.0,1620.0,1620.0,1736.0,1766.0,1800.0,2065.0,1736.0
Agrotóxico,Espalhante/Adjuvante,ASSIST,L,Norte,RO,2020,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Espalhante/Adjuvante,ASSIST,L,Sul,PR,2020,1841.0,1841.0,1861.0,1867.0,1981.0,2025.0,1973.0,1975.0,1975.0,1916.0,2079.0,2108.0
Agrotóxico,Espalhante/Adjuvante,ASSIST,L,Centro-Oeste,MT,2020,1582.0,1698.0,1698.0,1698.0,1698.0,1866.0,1866.0,1866.0,1872.0,1733.0,1733.0,1733.0
Agrotóxico,Espalhante/Adjuvante,ASSIST,L,Centro-Oeste,MS,2020,1470.0,1470.0,1470.0,1470.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1780.0,1780.0
Agrotóxico,Espalhante/Adjuvante,ASSIST,L,Sudeste,MG,2020,1750.0,1750.0,1750.0,1900.0,2760.0,2760.0,1500.0,1500.0,1500.0,1800.0,1830.0,1800.0
Agrotóxico,Espalhante/Adjuvante,ASSIST,L,Centro-Oeste,GO,2020,1500.0,1500.0,1500.0,1500.0,2000.0,2000.0,1500.0,1600.0,1600.0,1800.0,2000.0,2050.0
Agrotóxico,Espalhante/Adjuvante,ASSIST,L,Sul,RS,2020,1877.0,1877.0,1836.0,1780.0,1780.0,1740.0,1740.0,1720.0,1720.0,1947.0,1980.0,2007.0
