Produto,Unidade,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Grupo,Subgrupo
ASSIST,L,MG,2020,"17,50","17,50","17,50","19,00","27,60","27,60","15,00","15,00","15,00","18,00","18,30","18,00",Agrotóxico,Espalhante/Adjuvante
ASSIST,L,GO,2020,"15,00","15,00","15,00","15,00","20,00","20,00","15,00","16,00","16,00","18,00","20,00","20,50",Agrotóxico,Espalhante/Adjuvante
ASSIST,L,RS,2020,"18,77","18,77","18,36","17,80","17,80","17,40","17,40","17,20","17,20","19,47","19,80","20,07",Agrotóxico,Espalhante/Adjuvante
ASSIST,L,ES,2020,"23,19","0,00","23,03","0,00","0,00","0,00","0,00","0,00","0,00","0,00","17,12","17,12",Agrotóxico,Espalhante/Adjuvante
ADESIL,L,MT,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","30,00","0,00","0,00",Agrotóxico,Espalhante/Adjuvante
ADESIL,L,ES,2021,"0,00","0,00","25,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Espalhante/Adjuvante
ADESIL,L,BA,2021,"0,00","0,00","35,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,PR,2021,"20,70","26,59","26,59","26,97","28,50","30,79","31,00","31,48","31,88","32,30","38,35","32,65",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,PR,2021,"21,40","25,95","25,95","26,00","26,00","26,00","26,16","26,16","26,16","26,16","26,16","26,16",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,SC,2021,"0,00","0,00","25,68","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,SP,2021,"17,00","17,00","19,90","19,90","19,90","21,50","21,50","24,00","24,00","24,00","24,50","24,50",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,MS,2021,"15,18","15,28","15,60","15,65","15,65","16,06","16,81","23,02","23,06","23,58","23,60","23,85",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,MT,2021,"24,50","24,50","26,57","23,95","23,95","23,95","24,27","25,15","25,15","26,90","26,95","26,95",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,GO,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","18,00",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,SP,2021,"0,00","0,00","19,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Espalhante/Adjuvante
